Ranking;Score;Strategia;Base_name;Descrizione;Hold;Metric_kind;Horizon_days;Entry_kind;Tickers_used;Clusters_used;Tickers_used_N;Clusters_used_N;N;N_filter;Win_rate_%;Avg_ret_%;Median_ret_%;Total_ret_%;Std_%;Sharpe;Min_%;Max_%
9;66.41;Large cap (≥250M) CEO/CFO — hold ret_high_90d_news;Large cap (≥250M) CEO/CFO;Solo market cap ≥250M con insider CEO/CFO. Soglie testate: 250M, 500M, 750M, 1B, 2B, 3B, 5B, 10B, 20B, 50B.;ret_high_90d_news;high;90;news;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;4;4;100.0;23.99;21.37;95.97;10.34;2.32;15.13;38.1
8;66.41;Large cap (≥500M) CEO/CFO — hold ret_high_90d_news;Large cap (≥500M) CEO/CFO;Solo market cap ≥500M con insider CEO/CFO. Soglie testate: 250M, 500M, 750M, 1B, 2B, 3B, 5B, 10B, 20B, 50B.;ret_high_90d_news;high;90;news;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;4;4;100.0;23.99;21.37;95.97;10.34;2.32;15.13;38.1
10;66.41;CEO/CFO — hold ret_high_90d_open;CEO/CFO;Solo insider con titolo CEO o CFO.;ret_high_90d_open;high;90;open;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;4;4;100.0;23.92;20.88;95.69;10.96;2.18;14.5;39.42
7;66.41;Officer/President — hold ret_high_90d_open;Officer/President;Officer / President / C-level.;ret_high_90d_open;high;90;open;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;4;4;100.0;23.92;20.88;95.69;10.96;2.18;14.5;39.42
9;66.41;Large cap (≥250M) CEO/CFO — hold ret_high_90d_open;Large cap (≥250M) CEO/CFO;Solo market cap ≥250M con insider CEO/CFO. Soglie testate: 250M, 500M, 750M, 1B, 2B, 3B, 5B, 10B, 20B, 50B.;ret_high_90d_open;high;90;open;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;4;4;100.0;23.92;20.88;95.69;10.96;2.18;14.5;39.42
8;66.41;Large cap (≥500M) CEO/CFO — hold ret_high_90d_open;Large cap (≥500M) CEO/CFO;Solo market cap ≥500M con insider CEO/CFO. Soglie testate: 250M, 500M, 750M, 1B, 2B, 3B, 5B, 10B, 20B, 50B.;ret_high_90d_open;high;90;open;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;4;4;100.0;23.92;20.88;95.69;10.96;2.18;14.5;39.42
2;100.0;CEO only + Value ≥500k — hold ret_high_5d_news;CEO only + Value ≥500k;CEO e valore totale ≥ 500k $.;ret_high_5d_news;high;5;news;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;23.65;23.65;23.65;;;23.65;23.65
1;100.0;CEO only + Position +10% — hold ret_high_5d_news;CEO only + Position +10%;CEO e aumento posizione ≥10%.;ret_high_5d_news;high;5;news;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;23.65;23.65;23.65;;;23.65;23.65
2;100.0;CEO only + Value ≥500k — hold ret_high_7d_open;CEO only + Value ≥500k;CEO e valore totale ≥ 500k $.;ret_high_7d_open;high;7;open;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;23.43;23.43;23.43;;;23.43;23.43
1;100.0;CEO only + Position +10% — hold ret_high_7d_open;CEO only + Position +10%;CEO e aumento posizione ≥10%.;ret_high_7d_open;high;7;open;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;23.43;23.43;23.43;;;23.43;23.43
2;100.0;CEO only + Value ≥500k — hold ret_high_10d_open;CEO only + Value ≥500k;CEO e valore totale ≥ 500k $.;ret_high_10d_open;high;10;open;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;23.43;23.43;23.43;;;23.43;23.43
1;100.0;CEO only + Position +10% — hold ret_high_10d_open;CEO only + Position +10%;CEO e aumento posizione ≥10%.;ret_high_10d_open;high;10;open;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;23.43;23.43;23.43;;;23.43;23.43
2;100.0;CEO only + Value ≥500k — hold ret_high_14d_open;CEO only + Value ≥500k;CEO e valore totale ≥ 500k $.;ret_high_14d_open;high;14;open;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;23.43;23.43;23.43;;;23.43;23.43
1;100.0;CEO only + Position +10% — hold ret_high_14d_open;CEO only + Position +10%;CEO e aumento posizione ≥10%.;ret_high_14d_open;high;14;open;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;23.43;23.43;23.43;;;23.43;23.43
2;100.0;CEO only + Value ≥500k — hold ret_high_30d_open;CEO only + Value ≥500k;CEO e valore totale ≥ 500k $.;ret_high_30d_open;high;30;open;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;23.43;23.43;23.43;;;23.43;23.43
1;100.0;CEO only + Position +10% — hold ret_high_30d_open;CEO only + Position +10%;CEO e aumento posizione ≥10%.;ret_high_30d_open;high;30;open;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;23.43;23.43;23.43;;;23.43;23.43
2;100.0;CEO only + Value ≥500k — hold ret_high_60d_open;CEO only + Value ≥500k;CEO e valore totale ≥ 500k $.;ret_high_60d_open;high;60;open;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;23.43;23.43;23.43;;;23.43;23.43
1;100.0;CEO only + Position +10% — hold ret_high_60d_open;CEO only + Position +10%;CEO e aumento posizione ≥10%.;ret_high_60d_open;high;60;open;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;23.43;23.43;23.43;;;23.43;23.43
2;100.0;CEO only + Value ≥500k — hold ret_high_90d_open;CEO only + Value ≥500k;CEO e valore totale ≥ 500k $.;ret_high_90d_open;high;90;open;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;23.43;23.43;23.43;;;23.43;23.43
1;100.0;CEO only + Position +10% — hold ret_high_90d_open;CEO only + Position +10%;CEO e aumento posizione ≥10%.;ret_high_90d_open;high;90;open;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;23.43;23.43;23.43;;;23.43;23.43
10;66.41;CEO/CFO — hold ret_high_60d_news;CEO/CFO;Solo insider con titolo CEO o CFO.;ret_high_60d_news;high;60;news;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;4;4;100.0;22.7;20.16;90.79;11.65;1.95;12.37;38.1
7;66.41;Officer/President — hold ret_high_60d_news;Officer/President;Officer / President / C-level.;ret_high_60d_news;high;60;news;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;4;4;100.0;22.7;20.16;90.79;11.65;1.95;12.37;38.1
9;66.41;Large cap (≥250M) CEO/CFO — hold ret_high_60d_news;Large cap (≥250M) CEO/CFO;Solo market cap ≥250M con insider CEO/CFO. Soglie testate: 250M, 500M, 750M, 1B, 2B, 3B, 5B, 10B, 20B, 50B.;ret_high_60d_news;high;60;news;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;4;4;100.0;22.7;20.16;90.79;11.65;1.95;12.37;38.1
8;66.41;Large cap (≥500M) CEO/CFO — hold ret_high_60d_news;Large cap (≥500M) CEO/CFO;Solo market cap ≥500M con insider CEO/CFO. Soglie testate: 250M, 500M, 750M, 1B, 2B, 3B, 5B, 10B, 20B, 50B.;ret_high_60d_news;high;60;news;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;4;4;100.0;22.7;20.16;90.79;11.65;1.95;12.37;38.1
10;66.41;CEO/CFO — hold ret_high_60d_open;CEO/CFO;Solo insider con titolo CEO o CFO.;ret_high_60d_open;high;60;open;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;4;4;100.0;22.66;20.88;90.65;12.58;1.8;9.46;39.42
7;66.41;Officer/President — hold ret_high_60d_open;Officer/President;Officer / President / C-level.;ret_high_60d_open;high;60;open;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;4;4;100.0;22.66;20.88;90.65;12.58;1.8;9.46;39.42
9;66.41;Large cap (≥250M) CEO/CFO — hold ret_high_60d_open;Large cap (≥250M) CEO/CFO;Solo market cap ≥250M con insider CEO/CFO. Soglie testate: 250M, 500M, 750M, 1B, 2B, 3B, 5B, 10B, 20B, 50B.;ret_high_60d_open;high;60;open;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;4;4;100.0;22.66;20.88;90.65;12.58;1.8;9.46;39.42
8;66.41;Large cap (≥500M) CEO/CFO — hold ret_high_60d_open;Large cap (≥500M) CEO/CFO;Solo market cap ≥500M con insider CEO/CFO. Soglie testate: 250M, 500M, 750M, 1B, 2B, 3B, 5B, 10B, 20B, 50B.;ret_high_60d_open;high;60;open;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;4;4;100.0;22.66;20.88;90.65;12.58;1.8;9.46;39.42
2;100.0;CEO only + Value ≥500k — hold ret_high_5d_open;CEO only + Value ≥500k;CEO e valore totale ≥ 500k $.;ret_high_5d_open;high;5;open;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;21.91;21.91;21.91;;;21.91;21.91
1;100.0;CEO only + Position +10% — hold ret_high_5d_open;CEO only + Position +10%;CEO e aumento posizione ≥10%.;ret_high_5d_open;high;5;open;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;21.91;21.91;21.91;;;21.91;21.91
6;75.17;CEO only + Value ≥100k — hold ret_high_90d_news;CEO only + Value ≥100k;CEO e valore totale acquisto ≥ 100k $.;ret_high_90d_news;high;90;news;ENPH,SPHR;SPHR|2024-02-28,ENPH|2024-02-28;ENPH,SPHR;SPHR|2024-02-28,ENPH|2024-02-28;2;2;100.0;21.37;21.37;42.74;5.4;3.96;17.55;25.19
3;82.51;CEO + Director (combo) — hold ret_mean_90d_open;CEO + Director (combo);Cluster con almeno CEO e Director. (mean: media aritmetica di tutti i valori O,H,L,C nel periodo, barre es. 5 min).;ret_mean_90d_open;mean;90;open;STGW;STGW|2024-02-28;STGW;STGW|2024-02-28;1;1;100.0;20.93;20.93;20.93;;;20.93;20.93
4;82.51;Small cap (≤1B) CEO/CFO — hold ret_mean_90d_open;Small cap (≤1B) CEO/CFO;Solo small cap (market cap ≤1B) con insider CEO/CFO. (mean: media aritmetica di tutti i valori O,H,L,C nel periodo, barre es. 5 min).;ret_mean_90d_open;mean;90;open;STGW;STGW|2024-02-28;STGW;STGW|2024-02-28;1;1;100.0;20.93;20.93;20.93;;;20.93;20.93
11;66.39;Mid cap (1B–10B) CEO/CFO — hold ret_high_30d_open;Mid cap (1B–10B) CEO/CFO;Solo mid cap (market cap tra 1B e 10B) con insider CEO/CFO.;ret_high_30d_open;high;30;open;AMN,SPHR;AMN|2024-02-28,SPHR|2024-02-28;AMN,SPHR;AMN|2024-02-28,SPHR|2024-02-28;2;2;100.0;20.88;20.88;41.77;3.6;5.8;18.34;23.43
11;66.39;Mid cap (1B–10B) CEO/CFO — hold ret_high_60d_open;Mid cap (1B–10B) CEO/CFO;Solo mid cap (market cap tra 1B e 10B) con insider CEO/CFO.;ret_high_60d_open;high;60;open;AMN,SPHR;AMN|2024-02-28,SPHR|2024-02-28;AMN,SPHR;AMN|2024-02-28,SPHR|2024-02-28;2;2;100.0;20.88;20.88;41.77;3.6;5.8;18.34;23.43
11;66.39;Mid cap (1B–10B) CEO/CFO — hold ret_high_90d_open;Mid cap (1B–10B) CEO/CFO;Solo mid cap (market cap tra 1B e 10B) con insider CEO/CFO.;ret_high_90d_open;high;90;open;AMN,SPHR;AMN|2024-02-28,SPHR|2024-02-28;AMN,SPHR;AMN|2024-02-28,SPHR|2024-02-28;2;2;100.0;20.88;20.88;41.77;3.6;5.8;18.34;23.43
24;48.39;Multiple buys (n≥2) — hold ret_high_60d_open;Multiple buys (n≥2);Almeno 2 transazioni P nello stesso cluster (buy ripetuti).;ret_high_60d_open;high;60;open;AMN,OVLY,STGW;AMN|2024-02-28,STGW|2024-02-28,OVLY|2024-02-28;AMN,OVLY,STGW;AMN|2024-02-28,STGW|2024-02-28,OVLY|2024-02-28;3;3;100.0;20.77;18.34;62.3;17.57;1.18;4.54;39.42
24;48.39;Multiple buys (n≥2) — hold ret_high_90d_open;Multiple buys (n≥2);Almeno 2 transazioni P nello stesso cluster (buy ripetuti).;ret_high_90d_open;high;90;open;AMN,OVLY,STGW;AMN|2024-02-28,STGW|2024-02-28,OVLY|2024-02-28;AMN,OVLY,STGW;AMN|2024-02-28,STGW|2024-02-28,OVLY|2024-02-28;3;3;100.0;20.77;18.34;62.3;17.57;1.18;4.54;39.42
11;66.39;Mid cap (1B–10B) CEO/CFO — hold ret_high_30d_news;Mid cap (1B–10B) CEO/CFO;Solo mid cap (market cap tra 1B e 10B) con insider CEO/CFO.;ret_high_30d_news;high;30;news;AMN,SPHR;AMN|2024-02-28,SPHR|2024-02-28;AMN,SPHR;AMN|2024-02-28,SPHR|2024-02-28;2;2;100.0;20.16;20.16;40.32;7.11;2.83;15.13;25.19
11;66.39;Mid cap (1B–10B) CEO/CFO — hold ret_high_60d_news;Mid cap (1B–10B) CEO/CFO;Solo mid cap (market cap tra 1B e 10B) con insider CEO/CFO.;ret_high_60d_news;high;60;news;AMN,SPHR;AMN|2024-02-28,SPHR|2024-02-28;AMN,SPHR;AMN|2024-02-28,SPHR|2024-02-28;2;2;100.0;20.16;20.16;40.32;7.11;2.83;15.13;25.19
11;66.39;Mid cap (1B–10B) CEO/CFO — hold ret_high_90d_news;Mid cap (1B–10B) CEO/CFO;Solo mid cap (market cap tra 1B e 10B) con insider CEO/CFO.;ret_high_90d_news;high;90;news;AMN,SPHR;AMN|2024-02-28,SPHR|2024-02-28;AMN,SPHR;AMN|2024-02-28,SPHR|2024-02-28;2;2;100.0;20.16;20.16;40.32;7.11;2.83;15.13;25.19
11;66.39;Mid cap (1B–10B) CEO/CFO — hold ret_high_14d_open;Mid cap (1B–10B) CEO/CFO;Solo mid cap (market cap tra 1B e 10B) con insider CEO/CFO.;ret_high_14d_open;high;14;open;AMN,SPHR;AMN|2024-02-28,SPHR|2024-02-28;AMN,SPHR;AMN|2024-02-28,SPHR|2024-02-28;2;2;100.0;19.9;19.91;39.81;4.99;3.99;16.38;23.43
3;82.51;CEO + Director (combo) — hold ret_high_30d_open;CEO + Director (combo);Cluster con almeno CEO e Director.;ret_high_30d_open;high;30;open;STGW;STGW|2024-02-28;STGW;STGW|2024-02-28;1;1;100.0;19.9;19.9;19.9;;;19.9;19.9
4;82.51;Small cap (≤1B) CEO/CFO — hold ret_high_30d_open;Small cap (≤1B) CEO/CFO;Solo small cap (market cap ≤1B) con insider CEO/CFO.;ret_high_30d_open;high;30;open;STGW;STGW|2024-02-28;STGW;STGW|2024-02-28;1;1;100.0;19.9;19.9;19.9;;;19.9;19.9
3;82.51;CEO + Director (combo) — hold ret_mean_90d_news;CEO + Director (combo);Cluster con almeno CEO e Director. (mean: media aritmetica di tutti i valori O,H,L,C nel periodo, barre es. 5 min).;ret_mean_90d_news;mean;90;news;STGW;STGW|2024-02-28;STGW;STGW|2024-02-28;1;1;100.0;19.78;19.78;19.78;;;19.78;19.78
4;82.51;Small cap (≤1B) CEO/CFO — hold ret_mean_90d_news;Small cap (≤1B) CEO/CFO;Solo small cap (market cap ≤1B) con insider CEO/CFO. (mean: media aritmetica di tutti i valori O,H,L,C nel periodo, barre es. 5 min).;ret_mean_90d_news;mean;90;news;STGW;STGW|2024-02-28;STGW;STGW|2024-02-28;1;1;100.0;19.78;19.78;19.78;;;19.78;19.78
16;53.67;Qty ≥5k shares — hold ret_high_90d_open;Qty ≥5k shares;Almeno 5k azioni acquistate nel cluster.;ret_high_90d_open;high;90;open;AMN,NHI,NOVA,SPHR,STGW,WU;WU|2024-02-28,AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,NHI|2024-02-28,NOVA|2024-02-28;AMN,NHI,NOVA,SPHR,STGW,WU;WU|2024-02-28,AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,NHI|2024-02-28,NOVA|2024-02-28;6;6;100.0;19.32;17.32;115.89;11.36;1.7;7.07;39.42
